Lodwar,Month,Year
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0.01,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
0,Jun,2013
,Jun,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
3.3,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
2.4,Jul,2013
2.4,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0,Jul,2013
0.01,Jul,2013
1.4,Jul,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0.01,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
1.2,Aug,2013
28.4,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Aug,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0.01,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0,Sep,2013
0.01,Sep,2013
0,Sep,2013
0,Sep,2013
,Sep,2013
0,Oct,2013
0.01,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0.01,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0.01,Oct,2013
0,Oct,2013
0,Oct,2013
0.01,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Oct,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0.01,Nov,2013
0.01,Nov,2013
0.5,Nov,2013
0.01,Nov,2013
0,Nov,2013
19.8,Nov,2013
0.01,Nov,2013
0.01,Nov,2013
0.01,Nov,2013
0.01,Nov,2013
0,Nov,2013
2.3,Nov,2013
0.01,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
0,Nov,2013
,Nov,2013
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Jan,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0.01,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0.01,Feb,2014
0.01,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
0,Feb,2014
,Feb,2014
,Feb,2014
,Feb,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0.01,Mar,2014
1.2,Mar,2014
0,Mar,2014
0,Mar,2014
0.01,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0.01,Mar,2014
3.1,Mar,2014
1.7,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0,Mar,2014
0.01,Mar,2014
0,Mar,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0.01,Apr,2014
16.4,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
