2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,2.9,0,0.01,0,0,0,12.3,0,0.2,0,1.8,22.2,0.01
0.2,0.6,0,0,0,0,0,2.5,0,1.5,0.01,0.6,5.1,0
0,0,0.01,0,9.8,0,8.1,0,0,1.9,0,0.3,0,0
0.01,0,0,3.4,23.4,0,0,0.01,0,0.01,7.8,0.3,0,0
1.2,0,0.01,1,5.8,0.01,0,0,0,0,0,0.2,9,0
0.2,0,0,0,0.6,0,0.2,0.3,0,0,0.6,0.2,11.5,0
0.01,0.01,0.01,0,7.6,0,0,0.8,0.01,8.1,0.01,2,0.01,0
0.2,0.7,0.01,0.01,2.2,2,0,1,0,7.6,0.4,5.8,0,8
0.2,0.7,0,1.8,1,0,0,4.9,0.01,1.7,4.5,1.4,0,1
0.01,0.5,0,1.5,0,0.01,0.01,0.01,0,0,6.3,8.2,5.6,4.8
5,3.7,0,0,0,0,0,0,0,0,0.6,0.3,1.6,0
0,4.5,0,0.01,0,0,0,0,9.7,0,0,1,7.8,0
0,0.6,0,0,0,0,0,0,0,0.01,4,0,0,0.01
0.01,0,0,4.1,0,0,0,0.4,2.8,0,0,0.6,0,0
0,0,0,1.9,1.3,0,0,0,14.9,0.4,0.2,0.2,4.6,0
0,0,0,0,1.4,0,0,0,3.2,0,1.1,3.8,4.6,1.9
0,3.1,0.01,2,28.6,0,0,0,2,0,0.8,24.7,1.1,0.01
0,0,0.01,0,1,0,0,1,0,0.6,0.01,6.5,0,0.3
0,0,0,0,0,0,0,0.5,0,0.01,0.01,14.9,0.2,0
0,0,0,0,0.01,0,0,2.1,3.7,0.2,0,3,4.5,0
0,0,0,0,2.4,0.1,0.01,0,0,0,0,2.2,0.4,0.01
0,2.7,1.7,3,1,4.9,0,0,0,0,0.01,0,0,0
0,0,38.4,0,0,0.8,0,0.4,0,0,0.8,0,0,4.2
0,0,0,0,0,0,0,0.8,0,0,0,0.01,6.8,0
5.8,0,1.2,1.2,0,0,0.01,0.8,0,0,0,7.1,0.6,0
1.9,0,0,1.6,21.7,1.5,0.4,0,0.2,0,0,0,0.01,0.01
2.1,0,2.2,17.1,3.9,0,0.7,0,0,0.7,0,0.01,1.4,0.6
0,0,0,21,0,0,1.2,0.2,0,8.3,0.2,5.2,0,0
